episode,rewards,loss,l2_grad,max_grad
512,-108.71,-6.68,0.2818,8.9310
513,-196.93,-5.94,0.2767,7.0802
514,-301.99,0.86,0.4231,11.7510
515,-218.46,0.90,0.4162,12.0449
516,-326.11,-3.61,0.2853,5.3541
517,-81.13,-7.85,0.3430,8.7153
518,-120.17,-8.20,0.3423,8.3088
519,-419.64,-0.99,0.5178,14.8985
520,-322.12,-4.50,0.2917,6.6796
521,-287.20,-4.56,0.2541,7.7075
522,-200.49,-6.76,0.3123,7.5720
523,-64.77,-8.92,0.4369,11.6031
524,-93.27,-7.42,0.3108,9.2180
525,-99.55,-6.10,0.3185,8.7215
526,-299.01,-0.85,0.3431,9.5992
527,-293.10,-4.07,0.3045,6.1155
528,-44.15,-7.42,0.2968,8.6915
529,-93.29,-8.46,0.3893,10.3771
530,-184.40,-2.87,0.2122,4.6081
531,-106.21,-6.41,0.2376,7.5237
532,-58.93,-9.81,0.4602,12.4860
533,-236.34,-0.91,0.4517,12.7979
534,-308.26,-3.55,0.3247,7.7975
535,-131.38,-6.71,0.3458,10.0307
536,-145.67,-10.56,0.4262,11.0044
537,-198.67,-8.70,0.4261,13.4141
538,-84.30,-6.75,0.3241,8.4005
539,-159.69,-6.77,0.2799,6.4944
540,-158.35,-8.16,0.3322,10.4620
541,-91.86,-4.02,0.1530,3.5372
542,-125.89,-10.12,0.3721,11.0380
543,-163.35,-6.88,0.2864,8.1085
544,-206.04,-6.61,0.3438,7.6410
545,-95.48,-7.07,0.2415,7.9847
546,-198.64,-4.56,0.3146,7.0190
547,-117.71,-8.89,0.4410,12.8074
548,-139.50,-8.03,0.3841,11.4619
549,-202.37,-2.05,0.4035,11.3239
550,-169.25,-10.19,0.3717,11.0964
551,-474.80,3.50,0.5943,16.0898
552,-24.59,-7.99,0.3648,10.4093
553,-75.59,-4.54,0.2249,5.8848
554,-192.94,-9.44,0.4419,13.8871
555,-9.26,-8.30,0.3328,10.3958
556,-118.18,-8.61,0.3180,9.1883
557,-74.40,-9.06,0.3324,8.8563
558,-131.62,-9.34,0.3716,10.2500
559,-159.32,-2.57,0.2685,5.9865
560,-314.54,-0.15,0.5963,17.0467
561,-329.50,-8.60,0.2837,7.6354
562,-64.89,-11.01,0.4687,12.9043
563,-243.75,-4.55,0.2135,4.3688
564,-88.83,-9.28,0.3246,10.2841
565,-71.81,-10.19,0.4915,13.5705
566,-201.53,-9.44,0.3796,11.3202
567,-79.31,-9.03,0.3145,8.2694
568,-95.58,-4.02,0.1993,2.3916
569,-96.62,-5.31,0.1519,1.5953
570,-231.30,0.07,0.4303,12.1466
571,-237.51,-5.90,0.3207,8.7883
572,-357.08,-3.47,0.5152,11.7290
573,-78.13,-5.88,0.1474,2.0752
574,-260.52,-6.68,0.3519,8.0176
575,-56.88,-5.73,0.0860,1.7322
576,-145.94,-12.46,0.4614,12.1084
577,-100.57,-11.10,0.4410,13.5771
578,-109.09,-5.54,0.2393,5.6758
