episode,loss,rewards
1053,8.63,1.07
1054,4.90,0.58
1055,25.00,3.45
1056,8.99,1.07
1057,9.72,1.08
1058,2.11,0.26
1059,17.61,2.34
1060,5.50,0.65
1061,30.31,3.84
1062,4.71,0.60
1063,18.04,2.51
1064,6.74,0.86
1065,10.19,1.23
1066,16.22,2.04
1067,34.88,4.81
1068,1.27,0.15
1069,4.18,0.51
1070,28.08,3.50
1071,20.77,2.74
1072,10.13,1.43
1073,6.34,0.78
1074,16.77,2.33
1075,19.58,2.29
1076,23.87,3.40
1077,18.32,2.64
1078,33.91,4.61
1079,8.51,1.10
1080,23.46,3.42
1081,13.35,1.63
1082,5.19,0.61
1083,7.47,0.98
1084,6.03,0.81
1085,20.86,2.87
1086,5.47,0.65
1087,12.94,1.74
1088,12.93,1.60
1089,1.30,0.17
1090,18.90,2.77
1091,16.09,2.34
1092,2.62,0.34
1093,31.61,4.36
1094,21.46,3.07
1095,36.29,5.10
1096,2.37,0.29
1097,18.57,2.50
1098,10.27,1.40
1099,14.45,1.87
1100,6.25,0.84
1101,41.44,5.71
1102,15.28,2.21
1103,2.13,0.27
1104,30.59,4.26
1105,12.06,1.66
1106,37.44,5.40
1107,38.54,5.48
1108,15.87,2.17
1109,25.83,3.52
1110,9.03,1.37
1111,8.21,1.15
1112,23.75,3.05
1113,2.11,0.28
1114,4.71,0.63
1115,32.20,4.21
1116,20.13,2.91
1117,32.16,4.56
1118,2.42,0.33
1119,1.09,0.14
1120,3.34,0.40
1121,34.37,4.58
1122,5.88,0.75
1123,6.46,0.92
1124,47.09,6.38
1125,36.76,5.18
1126,18.66,2.63
1127,6.01,0.84
1128,48.68,7.85
1129,12.66,1.76
1130,21.81,3.38
1131,3.95,0.54
1132,6.20,0.90
1133,37.11,5.48
1134,23.76,3.50
1135,26.36,3.94
1136,22.39,3.43
1137,4.74,0.68
1138,6.24,1.07
1139,14.24,2.10
1140,14.31,2.03
1141,37.90,5.11
1142,13.94,2.22
1143,2.26,0.36
1144,5.91,0.95
1145,25.61,3.68
1146,3.46,0.49
1147,4.10,0.59
1148,8.08,1.27
1149,18.75,3.04
1150,24.72,3.98
1151,7.07,1.19
1152,5.05,0.79
1153,21.33,3.82
1154,2.99,0.53
1155,2.17,0.40
1156,5.61,0.98
1157,1.57,0.26
1158,16.65,2.87
1159,5.73,0.91
1160,2.51,0.53
1161,17.39,3.23
1162,7.49,1.36
1163,13.72,2.56
1164,2.19,0.39
1165,6.02,0.98
1166,6.66,1.37
1167,1.71,0.38
1168,31.54,5.98
1169,11.07,1.96
1170,7.54,1.18
1171,23.57,4.69
1172,2.94,0.62
1173,3.10,0.50
1174,7.45,1.22
1175,9.12,2.02
1176,16.27,3.22
1177,6.89,1.51
1178,7.04,1.35
1179,13.98,1.97
1180,18.99,3.74
1181,19.74,3.81
1182,27.50,4.81
1183,6.21,1.18
1184,10.38,2.16
1185,42.88,6.83
1186,25.56,5.15
1187,20.53,3.43
1188,26.02,4.26
1189,20.16,3.17
1190,23.74,4.00
1191,8.84,1.50
1192,0.42,0.08
1193,7.56,1.42
1194,8.07,1.26
1195,6.92,1.17
1196,3.01,0.55
1197,26.55,4.01
1198,33.07,5.81
1199,20.31,3.34
1200,2.00,0.36
1201,5.67,1.13
1202,5.93,1.18
1203,5.41,1.02
1204,37.84,6.25
1205,7.80,1.74
1206,6.87,1.26
1207,21.74,3.77
1208,31.67,5.66
1209,6.08,1.41
1210,28.67,5.34
1211,24.51,4.06
1212,1.96,0.44
1213,45.31,8.09
1214,16.19,2.64
